L_t0,S_t0,C_t0,L_t1,S_t1,C_t1,L_t2,S_t2,C_t2,L_t3,S_t3,C_t3,L_t4,S_t4,C_t4,L_t5,S_t5,C_t5,L_t6,S_t6,C_t6,L_t7,S_t7,C_t7,L_t8,S_t8,C_t8,L_t9,S_t9,C_t9,L_t10,S_t10,C_t10,L_t11,S_t11,C_t11,L_t12,S_t12,C_t12
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.172822778077517,-1.3028800869255042,-2.4471041485908596,5.368470697418736,-1.9092437360654957,-1.005731287212156,5.255877783562446,-1.6658153185888842,-1.2125203771530406,5.231849610622824,-1.724000162619232,-2.1011268516857267,5.214247079517247,-1.6007108925999052,-1.9703909492952574,5.070539156021095,-1.6311809164666375,-3.0831813338026235,4.490530473662208,-1.271817382500298,-3.2810610140572143,3.8361186715047735,-0.8595291991807938,-2.6849263194779227,3.6216123879164765,-0.6155362108306661,-2.769267309550099,3.451686595427373,-0.5947418326476607,-2.0714814625800537,3.378969172635967,-0.6283558348170646,-0.9458452702591289,3.4093100991278473,-0.7440644056702189,-0.7641110337583314
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.688170521664156,-0.8469584191277815,-1.5384932812601089,4.72610382103809,-0.5305603952984805,-1.5517188159958952,4.230010664746269,0.0832148033159803,-1.6465593716548639,3.805899170738837,0.48357487253391274,-2.7468768389222644,4.0550910135299265,-0.11144405410665065,-2.0768756827498023,4.179775188452425,-0.30941563880261413,-2.1601799155766557,3.7588657025129337,-0.13904781662116883,-2.5618086069075763,3.5404527620934045,0.11873761844578362,-2.744967390838031,2.9940273336931873,0.5278446999311264,-0.976034279230682,3.307424098669219,0.1444506053748275,-0.20098941660549252,3.3822556943757918,0.25152551583024757,-0.4755139471322305,3.276291829389146,0.24284554464315972,-0.41880053098383574
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.010665955313066,-1.5396891464381823,-1.7203629085327001,4.8092043539839295,-1.2431245411743397,-2.003423065639276,4.73895352107499,-0.7551424891554803,-3.5024746460111778,4.822747146906411,-0.6034790413713859,-3.4119906720479443,4.71110648527355,-0.3880131055423186,-3.937069023124529,5.034916282545421,-1.0110890104884378,-4.163920481904572,5.024951896846518,-1.2957291221432188,-3.898917925908031,5.0425451271068775,-0.9075316499187706,-4.985382062086871,5.00199149325155,-0.8340216657920239,-3.6218205653071025,4.664712819661084,-0.2796114603120258,-4.918187039693948,4.431594496810649,-0.496256555183075,-4.547048096206574,4.276525463213926,-0.6526097132695593,-2.0167434720519566
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.7902634060402045,-1.1088452201378423,-2.107414796838145,4.614069532467289,-0.6561796492752997,-2.493884780309074,3.9887345501817832,-0.3214352541141653,-3.4131593849423987,3.9194822794209783,-0.33292584868404995,-3.509618935879601,4.161627186611653,-1.131915168306069,-3.2356975537116894,4.379497903788206,-1.4103637407785856,-4.033112722336105,4.529821233667028,-1.6125315922718544,-4.651517993418393,4.2541273925398295,-1.2994055204517188,-4.722412868629457,4.212023599917553,-1.610265336978716,-3.173242172574656,4.271264290737471,-1.1263663415249154,-3.5957373379259443,4.376650589162252,-1.3788694481761212,-3.832278334429728,4.186512523149375,-1.6664958077861334,-3.21531225072799
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.418532439054111,-1.451325777184953,-2.696868304703328,5.490356189294382,-1.50569773250684,-3.516516418049011,5.295980048726576,-1.3973485851336425,-3.734309592388009,5.420230189451287,-1.4865506527896666,-2.6987583224747995,5.150256385206701,-1.304286151686248,-3.1318458691292843,5.077952396674407,-1.402320729231825,-3.3823572931695844,5.301594324611955,-1.8500457051007155,-3.214606675415339,5.258638665272963,-2.243357804247877,-1.6856994599360067,5.595719195870659,-2.707670373513246,-2.4420571793971875,5.736625240516384,-2.7573459717955933,-2.6032426487204976,5.346656204843322,-2.1793312280885297,-3.111712014873189,5.615366475793014,-2.678249311268511,-3.5314852331752338
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.9254868861928705,-1.282262154048296,-2.2487051688924646,4.691555004559876,-1.3703266124466733,-2.2555273209572393,5.361498783360068,-2.0826725390607304,-0.8429603475528484,4.9422514723312645,-1.7939094629210033,-1.5141759266427517,4.8958625229375725,-1.5455779461280292,-1.0023650361574663,5.165166065688784,-1.8670236527349533,-1.0832040884641227,5.039420404504268,-1.98349166060944,0.4783100417273698,5.090348144433306,-1.5038088552391378,-1.8284187902624667,4.880545371826461,-1.2773605086903719,-3.119156062617969,4.751693686599609,-1.1936943861776392,-3.4062537755595366,4.96609034488498,-1.577052964736577,-3.8997626471610363,4.885515055486803,-1.6403298965252773,-4.503973279583704
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.137490412849405,-1.645261118141996,-2.583893653816756,5.348702935074098,-1.8716611411794883,-2.09750598059265,5.074683530516664,-1.669144221936328,-2.638862839258642,5.03699036206206,-1.718031955657648,-2.448789877425602,5.0685808951079006,-1.654658007978284,-1.904583810464115,5.0859218101317785,-1.8218906716812993,-1.4228389290849168,4.932647167187881,-1.6118554395604987,-0.5768422378911106,5.363344138538564,-2.409668539412985,0.21024013896843474,5.289475093214818,-2.0092734360717266,-0.365009878042848,5.238005600188622,-2.0402049563983153,-0.01705481752855853,5.500795038919123,-2.129984091051131,-0.356992647334452,5.573603065280218,-2.236171034996425,-0.4606673634826437
5.093897296118335,-1.310122609750641,-2.0187752712640896,4.926356368934544,-0.8867189460885565,-2.4497532575918597,5.137772278488004,-1.0988196200870886,-2.521373065733891,4.9349993912123145,-1.3019241403793684,-2.1359058892529523,4.877053259369716,-1.4003513976862516,-2.152783486154557,4.942958399881156,-1.6494280398547578,-1.6299528500680656,4.583229824649917,-1.671329804853632,-2.088493836276122,4.446144380052227,-1.4351706963006754,-1.5308306293420522,4.20927657546644,-1.143684517360402,-1.9544043283459303,4.089976803810944,-0.9492106461921619,-2.5547221354344605,4.306359850220757,-0.948730567593981,-2.666320614832667,4.730155447460458,-1.4114922616527932,-1.4990407572653472,5.0536597290968235,-1.6438046604790169,-1.0317802143427817
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.179919217818875,-1.4177574250148675,-1.4709084045798586,5.179731895393275,-1.6308056395517836,-0.4591952818164764,4.948015624857894,-1.448678074116302,-0.3733202817248098,4.963562635282998,-1.490594001602933,-1.1069336363276032,4.783589247290592,-1.0332885831394496,-1.897260344872901,4.413976749440889,-1.072307877869625,-2.767008796119222,4.142142693487617,-1.0544700755494296,-3.6433221544281738,4.407875126938842,-1.3881629259837038,-3.8468385086422225,4.470313980619647,-1.3256705983286026,-5.424043157644306,4.3261551337503015,-1.3985016767238547,-5.980870736878952,3.7190084170318642,-1.067207862486785,-6.012219521609322,4.097245351381487,-1.7077587736670463,-4.569659935309692
5.093897296118335,-1.310122609750641,-2.0187752712640896,5.493123045424966,-1.5737854044402253,-3.2119306161135848,5.3702388658569635,-1.608287257992891,-2.7855720310640466,5.397110700757039,-1.5945983268255108,-2.5154993644381736,5.744052433590206,-1.8431149596030785,-3.238134279509227,6.140092822777863,-2.1191027091064365,-2.432675823989505,6.000251264843641,-2.1973151566979308,-2.125793709263598,6.382982805913462,-2.827933537225239,-2.697413890155061,6.566012418048675,-3.2582112831438415,-2.423830274939669,6.481185121754652,-3.365308395707215,-3.0424588713947136,6.369633435831159,-3.612897166603206,-3.370471484725495,6.296423928644236,-3.8401522118079447,-2.3909869859711583,5.866053622977136,-3.694903903906675,-2.0244141108103766
