bond,1yr,2yr,3yr,5yr,7yr,10yr,20yr,30yr
2yr_2pct,0.01701676209580388,1.9105118316380332,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2yr_4pct,0.032738282831687816,1.8628662702690728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5yr_3pct,0.025756758824990712,0.056920411820420486,0.13471859294101796,4.353443508864749,-0.0,-0.0,-0.0,-0.0
5yr_5pct,0.039232818237229405,0.08670144353933643,0.20520400513261147,4.0668966492042955,-0.0,-0.0,-0.0,-0.0
7yr_3pct,0.026447353766376212,0.058446572343046274,0.1383306925639829,0.25777653944754875,5.713990974946408,-0.0,-0.0,-0.0
7yr_4pct,0.033110067726691596,0.07317064632758573,0.17317946589609134,0.32271654681151246,5.426582026983757,-0.0,-0.0,-0.0
10yr_3pct,0.02752432883366189,0.06082660256320164,0.14396372142098537,0.2682735785267828,0.44197445810720937,7.471816300483291,-0.0,-0.0
10yr_5pct,0.03881965068917359,0.08578837574439957,0.20304296650692052,0.3783665959878448,0.6233501343868264,6.523533966552187,-0.0,-0.0
20yr_4pct,0.03623473087925732,0.080075906209559,0.18952275761572315,0.35317195121011796,0.5818425452543944,1.9553762161607042,9.9020505051368,-0.0
20yr_5pct,0.03955626761506477,0.08741624123252621,0.20689578030650294,0.38554623912858554,0.6351784288627476,2.134620101164837,9.02194440637498,-0.0
30yr_3pct,0.03427905955938023,0.0757540263641812,0.17929378082240865,0.33411045306636256,0.5504391720289475,1.8498400885357515,3.0753455523148876,11.115099003574192
30yr_4pct,0.037327593375348855,0.08249104639836238,0.19523888435558237,0.36382384156491027,0.5993912859607654,2.0143516047473966,3.3488447389744245,9.503159538588873
